Attendance in that particular semester?,Study pattern you follow?,How many hours on an average you have studied in that semester on daily basis?,0 of holidays you had took in that semester?,You Stayed in hostel in that semester?,You had mess food in that semester?,You Drink or Smoke?,You were in relationship in that particular semester?,Studying on Education Loan?,Parental Pressure(Mental or Financial) for studying?,Indulged in any kind of physical activity(Gym/Sports)? ,Avg time given to any kind of college club or community activity on daily basis?,Social Media usage or Gaming on daily basis?,CGPA/TGPA in the selected semester?
1,0,1,2,1,0,1,0,0,0,1,4,1,6.86
1,0,7,0,0,0,0,1,0,0,0,0,1,8.4
3,0,3,1,1,1,0,1,0,0,0,2,1,8.91
1,1,3,1,0,0,0,1,0,0,1,1,1,7.6
1,1,2,1,1,0,0,0,0,0,1,1,1,2.6
0,0,1,2,1,1,0,0,0,1,0,0,1,4.81
2,1,1,2,1,0,0,0,1,0,1,2,1,8.93
1,0,3,2,1,0,1,1,0,0,0,3,1,7.89
3,1,3,0,1,1,0,1,0,0,0,3,1,8.76
1,0,5,1,0,0,0,0,0,1,1,0,1,6.75
3,1,1,0,0,0,0,0,0,0,0,2,1,6.64
3,1,2,1,1,0,0,1,0,0,0,0,1,9.18
0,0,1,0,0,0,0,0,0,0,0,0,1,6.7
3,1,4,0,1,1,0,0,1,0,0,0,1,9.2
2,1,5,0,0,0,0,0,0,0,1,2,1,8.28
1,1,3,0,1,1,0,1,1,0,0,0,1,9.1
2,1,2,0,0,0,0,1,0,1,0,0,1,5.16
3,0,1,0,1,0,0,1,0,1,0,2,1,7.2
1,1,3,1,0,0,1,1,0,1,1,2,1,6.12
3,1,3,0,1,1,0,1,1,0,0,2,1,9
3,1,3,0,1,1,0,1,1,0,0,0,1,9.45
2,0,1,2,1,0,0,1,0,0,0,0,1,7.7
3,1,3,0,1,1,0,0,1,0,0,0,1,9.1
2,1,3,0,1,1,0,1,1,0,0,0,1,8.9
1,0,1,2,0,0,1,0,0,0,1,1,1,7.5
2,0,2,0,1,0,1,0,0,0,1,0,1,8.05
2,1,4,1,1,1,0,0,0,0,0,1,1,7.29
1,1,3,2,1,0,0,0,0,0,0,1,1,7.12
1,1,3,2,1,0,0,0,0,0,0,1,1,6.84
2,0,4,2,1,0,0,0,0,0,0,0,1,7.46
1,0,3,2,1,0,0,0,0,0,0,0,1,7.86
3,1,6,0,1,0,0,0,0,0,0,0,1,8.26
2,0,1,1,0,0,1,0,0,0,1,1,1,8.25
1,0,1,2,1,0,0,0,1,0,0,0,1,7.9
2,0,3,0,0,0,0,0,0,0,1,1,1,6.1
2,0,1,1,1,1,0,0,0,0,0,0,1,8.84
3,1,2,0,1,1,0,0,1,0,0,0,1,7.5
1,1,2,2,1,1,0,0,0,0,0,5,1,7.56
3,0,1,1,1,1,0,0,0,0,0,0,1,9.13
1,0,1,2,0,0,0,0,1,0,0,2,1,7.7
2,0,1,1,1,0,0,1,0,0,0,0,1,9.33
2,0,1,1,1,0,1,0,0,0,1,1,1,9.22
2,0,1,1,1,0,1,0,0,0,0,0,1,8
1,0,1,1,1,0,0,0,0,0,1,5,1,6.92
3,0,2,0,1,1,0,0,1,0,1,0,1,8.72
1,0,1,2,1,0,1,1,0,0,0,0,1,8.1
2,0,1,1,1,1,0,0,0,0,1,5,1,7.83
1,0,1,1,1,1,0,0,0,0,1,3,1,7.48
0,0,7,2,1,1,0,0,0,1,0,0,1,7.56
1,0,1,2,1,0,1,0,0,0,1,1,1,6.96
1,0,1,2,1,0,1,0,0,0,1,3,1,5.44
2,0,1,1,1,0,0,1,0,0,1,0,1,8.58
2,1,3,2,1,0,0,0,0,0,1,0,1,7.55
2,0,1,1,1,1,0,0,0,0,0,3,1,8.08
2,1,1,1,1,0,0,0,1,0,1,0,1,7.87
2,0,1,1,1,0,1,0,0,0,1,1,1,8.1
2,1,3,1,1,1,0,0,0,0,1,0,3,8.83
1,1,2,2,1,1,0,0,0,0,1,0,3,8.76
1,1,3,2,1,0,0,0,0,0,1,0,4,8.57
1,1,2,2,1,0,0,0,0,0,1,0,3,8.91
0,0,2,2,1,0,0,0,0,0,1,0,3,8.2
2,1,4,1,1,0,0,0,0,0,0,0,2,9.66
3,0,1,1,1,0,0,0,0,0,0,0,2,8.67
